X,Y,Z,label
-0.53895,0.3053,-1.84334,2
-0.54845,0.29845,-1.86477,2
-0.52292,0.29519,-1.84781,2
-0.63562,0.05892,-2.39226,2
-0.61083,0.0805,-2.41151,2
-0.62081,0.02743,-2.39063,2
-0.27922,-0.04733,-1.75296,2
-0.27015,-0.01448,-1.76903,2
-0.24485,-0.03411,-1.75889,2
-0.2913,-0.10131,-1.17202,2
-0.30201,-0.09911,-1.1823,2
-0.29511,-0.07955,-1.16903,2
-0.28757,-0.08112,-1.39816,2
-0.28472,-0.09606,-1.40232,2
-0.29811,-0.08552,-1.40098,2
-0.26195,0.00677,-1.43892,2
-0.25329,-0.01831,-1.41449,2
-0.26993,-0.02629,-1.46265,2
-0.25385,-0.01602,-1.54668,2
-0.28456,-0.02891,-1.55888,2
-0.26447,-0.01223,-1.56145,2
-0.22489,0.01472,-1.59153,2
-0.22006,0.02571,-1.59764,2
-0.20208,0.02238,-1.57821,2
-0.19804,0.0518,-1.59589,2
-0.19372,0.05109,-1.61317,2
-0.18219,0.04794,-1.61107,2
-0.19489,0.08899,-1.59251,2
-0.20349,0.02731,-1.54396,2
-0.25503,0.06092,-1.56067,2
-0.20658,0.10154,-1.60539,2
-0.19939,0.10244,-1.62095,2
-0.20751,0.0836,-1.58725,2
-0.21332,0.08758,-1.67166,2
-0.21191,0.07823,-1.65751,2
-0.22005,0.07361,-1.68051,2
-0.2231,0.09513,-1.6625,2
-0.23299,0.10905,-1.66641,2
-0.22062,0.05974,-1.65516,2
-0.25506,0.12978,-1.58847,2
-0.25028,0.11117,-1.56031,2
-0.223,0.10721,-1.59857,2
-0.24611,0.12742,-1.58913,2
-0.26871,0.11849,-1.59054,2
-0.21783,0.09859,-1.57147,2
-0.28146,0.21472,-1.58412,2
-0.28556,0.19783,-1.59358,2
-0.26795,0.16162,-1.59286,2
-0.3759,0.31661,-1.57387,2
-0.38649,0.32157,-1.57278,2
-0.35521,0.32472,-1.54027,2
-0.35451,0.0877,-1.59126,2
-0.32137,0.07033,-1.62389,2
-0.34788,0.10338,-1.60314,2
-0.30267,-0.0626,-1.61075,2
-0.28562,-0.04629,-1.59476,2
-0.26797,-0.08433,-1.58241,2
-0.30734,0.05704,-1.56356,2
-0.31345,0.02274,-1.57381,2
-0.29322,0.03677,-1.57349,2
-0.28172,0.05533,-1.57061,2
-0.28191,0.04852,-1.58897,2
-0.26243,0.07223,-1.58342,2
-0.28135,0.04671,-1.61329,2
-0.31419,0.04372,-1.5846,2
-0.28189,0.02578,-1.59771,2
-0.2059,0.26874,-1.56167,2
-0.23019,0.27809,-1.55875,2
-0.21439,0.24937,-1.58406,2
-0.25184,0.75842,-1.47938,2
-0.27227,0.73876,-1.46019,2
-0.27111,0.69498,-1.45299,2
-0.51726,1.62795,-1.80877,2
-0.5147,1.60936,-1.77295,2
-0.55356,1.61952,-1.83377,2
-0.79083,0.72153,-1.85693,2
-0.79718,0.76134,-1.86886,2
-0.76344,0.71318,-1.86067,2
-0.53842,-1.44309,-1.75508,2
-0.52308,-1.4332,-1.77627,2
-0.55283,-1.42915,-1.76187,2
0.12717,-0.90041,-1.67843,2
0.10608,-0.91961,-1.66431,2
0.14696,-0.9085,-1.66565,2
0.89022,0.69769,-1.38151,2
0.88725,0.68935,-1.34994,2
0.89551,0.67888,-1.38851,2
0.73794,1.14126,-1.50584,2
0.72118,1.12245,-1.5399,2
0.72082,1.14291,-1.52455,2
-1.29281,1.10719,-1.62414,2
-1.2806,1.10771,-1.65459,2
-1.31867,1.12209,-1.65963,2
-2.65716,-0.08894,-1.76537,2
-2.66997,-0.09714,-1.74533,2
-2.6466,-0.06263,-1.79372,2
-0.91143,-0.82409,-2.36614,2
-0.92971,-0.8289,-2.35264,2
-0.95318,-0.8066,-2.34952,2
0.57454,-0.00782,-1.72979,2
0.57517,-0.02949,-1.71216,2
0.55912,-0.01711,-1.73163,2
0.01628,0.07162,-1.03618,2
0.01318,0.06585,-1.03628,2
0.02287,0.08573,-1.05692,2
-0.30684,-0.15756,-1.51379,2
-0.28102,-0.17468,-1.49729,2
-0.31789,-0.13587,-1.50363,2
-0.30792,-0.00158,-1.59987,2
-0.29038,-0.00338,-1.57729,2
-0.32018,-0.00025,-1.58278,2
-0.3047,0.04526,-1.5565,2
-0.33693,0.09706,-1.55073,2
-0.30006,0.03913,-1.54932,2
-0.31619,0.06499,-1.53818,2
-0.30339,0.06064,-1.54223,2
-0.33007,0.05587,-1.53152,2
-0.30728,0.0637,-1.53704,2
-0.28857,0.0468,-1.52808,2
-0.31978,0.06807,-1.55426,2
-0.29438,0.06325,-1.55153,2
-0.30325,0.04208,-1.57833,2
-0.34754,0.04798,-1.53467,2
-0.29826,0.04176,-1.58813,2
-0.28339,0.03586,-1.58729,2
-0.32065,0.01847,-1.60303,2
-0.29629,0.05814,-1.57694,2
-0.30539,0.07739,-1.61737,2
-0.30375,0.0353,-1.55292,2
-0.29224,0.09817,-1.56663,2
-0.29573,0.11018,-1.59616,2
-0.25364,0.10559,-1.56375,2
-0.2995,0.1032,-1.57301,2
-0.28384,0.12688,-1.57995,2
-0.30039,0.11113,-1.5513,2
-0.30571,0.06629,-1.58585,2
-0.32271,0.11512,-1.59251,2
-0.3143,0.07325,-1.58078,2
-0.3091,0.09014,-1.57209,2
-0.30217,0.10112,-1.62496,2
-0.36892,0.10486,-1.62861,2
-0.31704,0.10641,-1.57774,2
-0.33332,0.13026,-1.59955,2
-0.33886,0.12255,-1.58123,2
-0.30916,0.06488,-1.5834,2
-0.32083,0.08484,-1.58457,2
-0.30728,0.0783,-1.59061,2
-0.30896,0.06511,-1.58529,2
-0.31213,0.05449,-1.58048,2
-0.30237,0.05929,-1.61104,2
-0.31175,0.06257,-1.60315,2
-0.30711,0.062,-1.59506,2
-0.37572,0.05598,-1.60646,2
-0.30069,0.07047,-1.58557,2
-0.32659,0.08039,-1.59615,2
-0.28848,0.05584,-1.5896,2
-0.30393,0.08207,-1.58821,2
-0.30988,0.12853,-1.57417,2
-0.28314,0.10848,-1.55838,2
-0.31413,0.07794,-1.59888,2
-0.3393,0.0667,-1.53712,2
-0.31772,0.07318,-1.63801,2
-0.30784,0.06283,-1.60149,2
-0.31319,0.0808,-1.59824,2
-0.32267,0.05313,-1.62807,2
-0.30579,0.04055,-1.67187,2
-0.27318,0.02079,-1.68996,2
-0.28025,0.02088,-1.69004,2
-0.31165,0.06978,-1.66851,2
-0.33528,0.05869,-1.69063,2
-0.34898,0.0554,-1.65362,2
-0.31045,0.08754,-1.58844,2
-0.32046,0.08284,-1.60301,2
-0.29284,0.10415,-1.58397,2
-0.31339,0.08384,-1.57175,2
-0.33408,0.10298,-1.54118,2
-0.30939,0.0423,-1.61286,2
-0.31535,0.07359,-1.58505,2
-0.31683,0.10186,-1.59678,2
-0.31229,0.06161,-1.57067,2
-0.32636,0.06747,-1.60549,2
-0.34629,0.07135,-1.62485,2
-0.31278,0.04714,-1.59946,2
-0.3224,0.07711,-1.6113,2
-0.32056,0.08737,-1.63575,2
-0.31868,0.05349,-1.62997,2
-0.31347,0.07208,-1.60765,2
-0.3135,0.07565,-1.59799,2
-0.31643,0.07101,-1.63347,2
-0.32642,0.07451,-1.60466,2
-0.31512,0.09052,-1.61582,2
-0.28201,0.06054,-1.58329,2
-0.3223,0.07552,-1.59725,2
-0.33182,0.06104,-1.61483,2
-0.32279,0.07081,-1.58237,2
-0.3158,0.06622,-1.59969,2
-0.30533,0.06682,-1.61962,2
-0.32578,0.09438,-1.62126,2
-0.31515,0.07146,-1.6003,2
-0.31411,0.0491,-1.62353,2
-0.31129,0.10672,-1.61615,2
-0.31324,0.09208,-1.5916,2
-0.31931,0.10157,-1.58549,2
-0.32835,0.11456,-1.56791,2
-0.31343,0.09381,-1.60085,2
-0.27784,0.08897,-1.59187,2
-0.33097,0.06931,-1.61834,2
-0.31796,0.08233,-1.60659,2
-0.29771,0.09268,-1.60987,2
-0.35284,0.06172,-1.61329,2
-0.32076,0.06905,-1.59389,2
-0.32157,0.04312,-1.56239,2
-0.31487,0.04696,-1.58176,2
-0.31472,0.06737,-1.59528,2
-0.29148,0.07461,-1.55717,2
-0.30428,0.04522,-1.61742,2
-0.30827,0.07631,-1.59682,2
-0.30222,0.10307,-1.59599,2
-0.28451,0.06797,-1.61721,2
-0.30748,0.085,-1.58322,2
-0.32231,0.07891,-1.60362,2
-0.32525,0.07664,-1.58354,2
-0.31732,0.08936,-1.60055,2
-0.25968,0.06948,-1.58363,2
-0.32835,0.07941,-1.63643,2
-0.32712,0.06769,-1.60789,2
-0.32597,0.09812,-1.63478,2
-0.33037,0.07397,-1.59694,2
-0.32948,0.05016,-1.59402,2
-0.32681,0.02028,-1.64085,2
-0.34511,0.04387,-1.5834,2
-0.31841,0.0409,-1.65686,2
-0.29119,0.03726,-1.66042,2
-0.32035,0.02667,-1.64446,2
